Cell Type,Female,ymin,lower,middle,upper,ymax
Bas,0,0,0,0.15,0.7,3.6
Bas,1,0,0,0.4,0.7,2.8
Bmem,0,0.7,1.9,2.2,2.85,8.7
Bmem,1,0.7,2.1,2.6,2.9,6.3
Bnv,0,0,1.56,2.3,3.4,13.8
Bnv,1,0,1.2,2.2,3.3,11.8
CD4mem,0,0,3.3,4.9,6.5,15
CD4mem,1,0.2,3.9,5.9,7.9,17.4
CD4nv,0,0,2.9,4,5.8,13
CD4nv,1,0,3.3,4.2,6.2,17.5
CD8mem,0,2.1,9.5,12.5,14.7,36.8
CD8mem,1,2.5,8.7,10.3,13.2,26.7
CD8nv,0,0,0,0.7,2.1,14.8
CD8nv,1,0,0,1.3,2.2,10.4
Eos,0,0,1.2,3.4,6.7,28.5
Eos,1,0,1.1,2,4.3,22.6
Mono,0,2.9,6.55,7.5,8.9,16.2
Mono,1,0.9,6.1,7.3,8.9,13.8
NK,0,0.7,4.1,6,8.25,17.6
NK,1,0.4,2.9,4.4,5.9,16.1
Treg,0,0,0.8,1.3,1.9,4.3
Treg,1,0,0.6,1.1,1.336,3.1
Neutrophils,0,13,41.25,47.1,53.85,74.2
Neutrophils,1,20.7,43.9,50.6,59.4,78.6
