Cell_or_Clock_Outcome,Continuous_Variable,R2_no_continuous_variable,R2_w_continuous_variable,Delta_R2,n_obs
PCHorvath1_resids,Age,0.009,0.008,-0.001,1972
PCHorvath1_resids,PCCystatinC,0.009,0.233,0.224,1972
PCHorvath1_resids,PCDNAmTL,0.009,0.556,0.547,1972
PCPhenoAge_resids,Age,0.007,0.006,-0.001,1972
PCPhenoAge_resids,PCCystatinC,0.007,0.59,0.583,1972
PCPhenoAge_resids,PCDNAmTL,0.007,0.319,0.312,1972
PCGrimAge_resids,Age,0.002,0.002,-0.001,1972
PCGrimAge_resids,PCCystatinC,0.002,0.51,0.507,1972
PCGrimAge_resids,PCDNAmTL,0.002,0.147,0.144,1972
DunedinPACE_resids,Age,0.004,0.003,-0.001,1972
DunedinPACE_resids,PCCystatinC,0.004,0.268,0.264,1972
DunedinPACE_resids,PCDNAmTL,0.004,0.047,0.043,1972
Bas_resids,Age,0.019,0.019,-0,1972
Bas_resids,PCCystatinC,0.019,0.02,0,1972
Bas_resids,PCDNAmTL,0.019,0.036,0.016,1972
Bmem_resids,Age,-0.003,-0.003,-0.001,1972
Bmem_resids,PCCystatinC,-0.003,0.041,0.043,1972
Bmem_resids,PCDNAmTL,-0.003,0.01,0.013,1972
Bnv_resids,Age,0.003,0.002,-0.001,1972
Bnv_resids,PCCystatinC,0.003,0.313,0.31,1972
Bnv_resids,PCDNAmTL,0.003,0.12,0.117,1972
CD4mem_resids,Age,0.006,0.005,-0,1972
CD4mem_resids,PCCystatinC,0.006,0.143,0.137,1972
CD4mem_resids,PCDNAmTL,0.006,0.015,0.009,1972
CD4nv_resids,Age,0,-0,-0.001,1972
CD4nv_resids,PCCystatinC,0,0.392,0.391,1972
CD4nv_resids,PCDNAmTL,0,0.329,0.329,1972
CD8mem_resids,Age,0.007,0.006,-0,1972
CD8mem_resids,PCCystatinC,0.007,0.012,0.006,1972
CD8mem_resids,PCDNAmTL,0.007,0.28,0.274,1972
CD8nv_resids,Age,0.001,-0,-0.001,1972
CD8nv_resids,PCCystatinC,0.001,0.209,0.208,1972
CD8nv_resids,PCDNAmTL,0.001,0.252,0.251,1972
Eos_resids,Age,0.004,0.003,-0,1972
Eos_resids,PCCystatinC,0.004,0.007,0.003,1972
Eos_resids,PCDNAmTL,0.004,0.007,0.004,1972
Mono_resids,Age,0.011,0.011,-0,1972
Mono_resids,PCCystatinC,0.011,0.032,0.021,1972
Mono_resids,PCDNAmTL,0.011,0.011,0,1972
NK_resids,Age,0.013,0.012,-0,1972
NK_resids,PCCystatinC,0.013,0.064,0.051,1972
NK_resids,PCDNAmTL,0.013,0.091,0.079,1972
Treg_resids,Age,0.007,0.006,-0,1972
Treg_resids,PCCystatinC,0.007,0.014,0.008,1972
Treg_resids,PCDNAmTL,0.007,0.084,0.077,1972
Neu_resids,Age,0.005,0.004,-0,1972
Neu_resids,PCCystatinC,0.005,0.327,0.322,1972
Neu_resids,PCDNAmTL,0.005,0.007,0.002,1972
